pair,final_energy,energy_drop,receptor,ligand
5-HT1A_5F-AKB48,-55389.09238433838,62977.802965164185,5-HT1A,5F-AKB48
5-HT1A_5F-PB-22,-55414.814277648926,62219.053480148315,5-HT1A,5F-PB-22
5-HT1A_6-APB,-55590.57607269287,56683.56140899658,5-HT1A,6-APB
5-HT1A_6-APDB,-55518.087142944336,62033.236110687256,5-HT1A,6-APDB
5-HT1A_8-Chlorotheophylline,-55590.366439819336,61943.977058410645,5-HT1A,8-Chlorotheophylline
5-HT1A_A-PHP,-55597.99839782715,82962.7974281311,5-HT1A,A-PHP
5-HT1A_A-PVP,-55496.56581115723,58225.18393325806,5-HT1A,A-PVP
5-HT1A_AB-FUBINACA,-55481.16719818115,66158.75073814392,5-HT1A,AB-FUBINACA
5-HT1A_AL-LAD,-55539.34140777588,58950.33554267883,5-HT1A,AL-LAD
5-HT1A_ALD-52,-55484.59999084473,61257.623291015625,5-HT1A,ALD-52
5-HT1A_APICA,-55443.20925140381,59325.63585662842,5-HT1A,APICA
5-HT1A_Acetylcholine,-55350.517765045166,60371.81360626221,5-HT1A,Acetylcholine
5-HT1A_Acetylfentanyl,-55506.08590698242,56500.508237838745,5-HT1A,Acetylfentanyl
5-HT1A_Adrafinil,-55619.78293991089,910540.9269790649,5-HT1A,Adrafinil
5-HT1A_Adrenaline,-55549.146087646484,806189.7818393707,5-HT1A,Adrenaline
5-HT1A_Alcohol,-55240.545948028564,64606.658016204834,5-HT1A,Alcohol
5-HT1A_Allylescaline,-55492.60531616211,87857.64130020142,5-HT1A,Allylescaline
5-HT1A_Alpha-MT,-55470.935552597046,59822.6318321228,5-HT1A,Alpha-MT
5-HT1A_Alprazolam,-55400.51670837402,60365.52400016785,5-HT1A,Alprazolam
5-HT1A_Amanita_muscaria,-55451.885414123535,63391.48522758484,5-HT1A,Amanita_muscaria
5-HT1A_Amphetamine,-55531.64185142517,61221.931998729706,5-HT1A,Amphetamine
5-HT1A_Anadenanthera_peregrina,-55573.661849975586,75497.3859615326,5-HT1A,Anadenanthera_peregrina
5-HT1A_Argyreia_nervosa,-55437.77530670166,67214.40818119049,5-HT1A,Argyreia_nervosa
5-HT1A_Armodafinil,-55440.46920013428,65544.96013069153,5-HT1A,Armodafinil
5-HT1A_Ayahuasca,-55520.214962005615,57504.43350982666,5-HT1A,Ayahuasca
5-HT1A_Baclofen,-55431.45244026184,77512.97983455658,5-HT1A,Baclofen
5-HT1A_Baeocystin,-55528.77781677246,64602.56587219238,5-HT1A,Baeocystin
5-HT1A_Banisteriopsis_caapi,-55474.72700500488,72377.3826122284,5-HT1A,Banisteriopsis_caapi
5-HT1A_Benzydamine,-55390.463203430176,57454.02391624451,5-HT1A,Benzydamine
5-HT1A_Beta-Carboline,-55454.45065689087,56925.90672683716,5-HT1A,Beta-Carboline
5-HT1A_Bk-2C-B,-55382.86333465576,53351.56470108032,5-HT1A,Bk-2C-B
5-HT1A_Bromantane,-55297.306632995605,58322.256483078,5-HT1A,Bromantane
5-HT1A_Bromazepam,-55389.03781890869,66549.41312026978,5-HT1A,Bromazepam
5-HT1A_Bromo-DragonFLY,-55484.62375640869,62427.31647109985,5-HT1A,Bromo-DragonFLY
5-HT1A_Bufotenin,-55445.8466796875,63374.521713256836,5-HT1A,Bufotenin
5-HT1A_Buprenorphine,-55476.67872619629,62381.17770767212,5-HT1A,Buprenorphine
5-HT1A_Butylone,-55527.71667098999,63231.30606365204,5-HT1A,Butylone
5-HT1A_Caffeine,-55540.865562438965,55757.200563430786,5-HT1A,Caffeine
5-HT1A_Cannabidiol,-55445.08491897583,68452.17114925385,5-HT1A,Cannabidiol
5-HT1A_Cannabis,-55385.616203308105,57924.72001647949,5-HT1A,Cannabis
5-HT1A_Carisoprodol,-55555.53144073486,67988.80773925781,5-HT1A,Carisoprodol
5-HT1A_Cathinone,-55572.20432281494,79519.64173793793,5-HT1A,Cathinone
5-HT1A_Changa,-55560.65361785889,72875.97121047974,5-HT1A,Changa
5-HT1A_Choline_bitartrate,-55477.56000518799,79095.27927017212,5-HT1A,Choline_bitartrate
5-HT1A_Citicoline,-55545.10101509094,70572.21697425842,5-HT1A,Citicoline
5-HT1A_Clonazepam,-55416.92003631592,56608.50337982178,5-HT1A,Clonazepam
5-HT1A_Clonazolam,-55499.13230895996,62426.177532196045,5-HT1A,Clonazolam
5-HT1A_Clonidine,-55514.73127746582,62263.900208473206,5-HT1A,Clonidine
5-HT1A_Cocaine,-55435.06581878662,62328.39059829712,5-HT1A,Cocaine
5-HT1A_Codeine,-55531.06927871704,62537.99517631531,5-HT1A,Codeine
5-HT1A_Creatine,-55576.99980926514,58254.55925369263,5-HT1A,Creatine
5-HT1A_Cyclazodone,-55428.66166687012,73005.23702812195,5-HT1A,Cyclazodone
5-HT1A_DET,-55473.033252716064,56927.45538902283,5-HT1A,DET
5-HT1A_DMT,-55512.24360656738,64647.33081436157,5-HT1A,DMT
5-HT1A_DOB,-55586.146324157715,61030.17112827301,5-HT1A,DOB
5-HT1A_DOC,-55474.93733215332,56034.74399185181,5-HT1A,DOC
5-HT1A_DOM,-55489.66298675537,60857.62357330322,5-HT1A,DOM
5-HT1A_DOx,-55466.51557922363,87213.01704788208,5-HT1A,DOx
5-HT1A_DPT,-55525.259185791016,55325.48822212219,5-HT1A,DPT
5-HT1A_Datura,-55494.73692321777,55770.0951461792,5-HT1A,Datura
5-HT1A_Delta-8-THC,-55448.82255363464,56019.84831047058,5-HT1A,Delta-8-THC
5-HT1A_Deschloroetizolam,-55465.6455039978,55326.785678863525,5-HT1A,Deschloroetizolam
5-HT1A_Deschloroketamine,-55468.23902130127,63269.18324661255,5-HT1A,Deschloroketamine
5-HT1A_Desomorphine,-55443.08310699463,57380.9623374939,5-HT1A,Desomorphine
5-HT1A_Desoxypipradrol,-55304.881507873535,58423.84076881409,5-HT1A,Desoxypipradrol
5-HT1A_Dextroamphetamine,-55547.351375579834,74744.94636487961,5-HT1A,Dextroamphetamine
5-HT1A_Dextromethorphan,-55505.62670135498,80446.00684833527,5-HT1A,Dextromethorphan
5-HT1A_Dextropropoxyphene,-55513.980781555176,56569.38747024536,5-HT1A,Dextropropoxyphene
5-HT1A_DiPT,-55477.14282989502,55641.19986343384,5-HT1A,DiPT
5-HT1A_Diazepam,-55217.64489746094,59303.25545120239,5-HT1A,Diazepam
5-HT1A_Dichloropane,-55436.20093536377,59356.392486572266,5-HT1A,Dichloropane
5-HT1A_Diclazepam,-55354.5344619751,59295.57923412323,5-HT1A,Diclazepam
5-HT1A_Dihydrocodeine,-55477.57098388672,61760.331570625305,5-HT1A,Dihydrocodeine
5-HT1A_Diphenhydramine,-55404.852767944336,54601.51209449768,5-HT1A,Diphenhydramine
5-HT1A_Diphenidine,-55394.76082611084,65508.56088447571,5-HT1A,Diphenidine
5-HT1A_Dopamine,-55445.72142791748,60078.02682876587,5-HT1A,Dopamine
5-HT1A_EPT,-55578.008476257324,55729.79643821716,5-HT1A,EPT
5-HT1A_ETH-CAT,-55626.49937438965,60382.44306564331,5-HT1A,ETH-CAT
5-HT1A_ETH-LAD,-55405.421394348145,61087.84726142883,5-HT1A,ETH-LAD
5-HT1A_Echinopsis_pachanoi,-55498.71608734131,59624.314001083374,5-HT1A,Echinopsis_pachanoi
5-HT1A_Efavirenz,-55381.379974365234,66471.25302505493,5-HT1A,Efavirenz
5-HT1A_Ephedrine,-55540.76809120178,56085.17928314209,5-HT1A,Ephedrine
5-HT1A_Ephenidine,-55504.3857460022,76428.59617233276,5-HT1A,Ephenidine
5-HT1A_Ephylone,-55561.986015319824,84667.33407795429,5-HT1A,Ephylone
5-HT1A_Escaline,-55609.84874725342,81292.99294042587,5-HT1A,Escaline
5-HT1A_Eszopiclone,-55488.21416473389,62548.52212905884,5-HT1A,Eszopiclone
5-HT1A_Ethylmorphine,-55468.55590057373,66932.67573356628,5-HT1A,Ethylmorphine
5-HT1A_Ethylone,-55531.088649749756,60662.07555961609,5-HT1A,Ethylone
5-HT1A_Ethylphenidate,-55412.74924468994,57177.392766952515,5-HT1A,Ethylphenidate
5-HT1A_Etizolam,-55487.015853881836,58189.59157180786,5-HT1A,Etizolam
5-HT1A_Fentanyl,-55526.58670806885,58667.68730926514,5-HT1A,Fentanyl
5-HT1A_Flualprazolam,-55501.942962646484,62360.58278656006,5-HT1A,Flualprazolam
5-HT1A_Flubromazepam,-55426.100116729736,57017.56974983215,5-HT1A,Flubromazepam
5-HT1A_Flubromazolam,-55260.84670257568,60407.412075042725,5-HT1A,Flubromazolam
5-HT1A_Flunitrazepam,-55480.369941711426,58182.9956741333,5-HT1A,Flunitrazepam
5-HT1A_Flunitrazolam,-55485.199211120605,57506.49013328552,5-HT1A,Flunitrazolam
5-HT1A_GABA,-55517.6633682251,61872.30489730835,5-HT1A,GABA
5-HT1A_GBL,-55571.61958694458,72489.08455944061,5-HT1A,GBL
5-HT1A_GHB,-55598.17036819458,64667.0514755249,5-HT1A,GHB
5-HT1A_Gabapentin,-55518.664321899414,58244.92428970337,5-HT1A,Gabapentin
5-HT1A_Gaboxadol,-55440.08399963379,65019.001417160034,5-HT1A,Gaboxadol
5-HT1A_Galantamine,-55512.88227081299,59825.88693237305,5-HT1A,Galantamine
5-HT1A_Glutamate,-55420.64042663574,63100.717458724976,5-HT1A,Glutamate
5-HT1A_HHC,-55354.60494995117,71299.94965267181,5-HT1A,HHC
5-HT1A_Harmala_alkaloid,-55383.99346160889,74215.5779914856,5-HT1A,Harmala_alkaloid
5-HT1A_Heroin,-55522.81706237793,57349.31448364258,5-HT1A,Heroin
5-HT1A_Hexedrone,-55481.76569366455,53931.053451538086,5-HT1A,Hexedrone
5-HT1A_Histamine,-55511.25885772705,62743.37898826599,5-HT1A,Histamine
5-HT1A_Hydrocodone,-55536.76427459717,63757.13081359863,5-HT1A,Hydrocodone
5-HT1A_Hydromorphone,-55506.4547958374,60952.124505996704,5-HT1A,Hydromorphone
5-HT1A_Ibogaine,-55544.56590270996,51116.953704833984,5-HT1A,Ibogaine
5-HT1A_Ibotenic_acid,-55551.10200500488,111891.42290210724,5-HT1A,Ibotenic_acid
5-HT1A_Ipomoea_tricolor,-55523.05773162842,66887.61867904663,5-HT1A,Ipomoea_tricolor
5-HT1A_Isopropylphenidate,-55376.48432159424,64041.57737350464,5-HT1A,Isopropylphenidate
5-HT1A_JWH-018,-55363.94105529785,59034.495765686035,5-HT1A,JWH-018
5-HT1A_JWH-073,-55433.57679748535,72590.02286624908,5-HT1A,JWH-073
5-HT1A_Kava,-55575.869525909424,63603.71567726135,5-HT1A,Kava
5-HT1A_Ketamine,-55529.91361236572,59846.12910556793,5-HT1A,Ketamine
5-HT1A_Kratom,-55469.611991882324,55231.25051498413,5-HT1A,Kratom
5-HT1A_LAE-32,-55513.466384887695,61925.94828891754,5-HT1A,LAE-32
5-HT1A_LSA,-55540.90882873535,60417.41526603699,5-HT1A,LSA
5-HT1A_LSD,-55432.63806152344,57761.00312805176,5-HT1A,LSD
5-HT1A_LSM-775,-55598.694564819336,801997.207616806,5-HT1A,LSM-775
5-HT1A_LSZ,-55526.712158203125,76515.70697712898,5-HT1A,LSZ
5-HT1A_Lisdexamfetamine,-55485.14429473877,77191.17718553543,5-HT1A,Lisdexamfetamine
5-HT1A_Lophophora_williamsii,-55491.76162338257,57957.65481376648,5-HT1A,Lophophora_williamsii
5-HT1A_Lorazepam,-55480.91230010986,62856.85033988953,5-HT1A,Lorazepam
5-HT1A_Lormetazepam,-55445.89797210693,59549.66982841492,5-HT1A,Lormetazepam
5-HT1A_MCPP,-55506.49736022949,64766.58940696716,5-HT1A,MCPP
5-HT1A_MDA,-55440.34648513794,65558.02077484131,5-HT1A,MDA
5-HT1A_MDAI,-55503.38300323486,57036.127365112305,5-HT1A,MDAI
5-HT1A_MDEA,-55550.74264335632,61150.06797027588,5-HT1A,MDEA
5-HT1A_MDMA,-55581.013732910156,58940.56874847412,5-HT1A,MDMA
5-HT1A_MDPV,-55551.372970581055,58055.99774360657,5-HT1A,MDPV
5-HT1A_MET,-55511.68266296387,57847.543827056885,5-HT1A,MET
5-HT1A_Meclofenoxate,-55522.60922241211,66785.37516784668,5-HT1A,Meclofenoxate
5-HT1A_Melatonin,-55562.63650512695,74089.0435218811,5-HT1A,Melatonin
5-HT1A_Memantine,-55506.115005493164,67375.42996025085,5-HT1A,Memantine
5-HT1A_Mephedrone,-55489.48666381836,78443.09929847717,5-HT1A,Mephedrone
5-HT1A_Mescaline,-55529.77498626709,60030.564920425415,5-HT1A,Mescaline
5-HT1A_Methadone,-55444.51524734497,63913.38060092926,5-HT1A,Methadone
5-HT1A_Methallylescaline,-55569.273292541504,102519.93985748291,5-HT1A,Methallylescaline
5-HT1A_Methamphetamine,-55544.08853149414,57833.514474868774,5-HT1A,Methamphetamine
5-HT1A_Methaqualone,-55400.44327545166,58309.88951873779,5-HT1A,Methaqualone
5-HT1A_Methcathinone,-55473.87045288086,78326.27293682098,5-HT1A,Methcathinone
5-HT1A_Methiopropamine,-55563.18408203125,58746.3749961853,5-HT1A,Methiopropamine
5-HT1A_Methoxetamine,-55493.37059402466,55109.752044677734,5-HT1A,Methoxetamine
5-HT1A_Methylnaphthidate,-55520.62860107422,57762.141216278076,5-HT1A,Methylnaphthidate
5-HT1A_Methylone,-55481.771686553955,85419.24245166779,5-HT1A,Methylone
5-HT1A_Methylphenidate,-55419.35693359375,82703.20926952362,5-HT1A,Methylphenidate
5-HT1A_Metizolam,-55368.71883392334,62350.972511291504,5-HT1A,Metizolam
5-HT1A_Mexedrone,-55512.269271850586,59372.90339279175,5-HT1A,Mexedrone
5-HT1A_MiPLA,-55517.9104385376,54149.307401657104,5-HT1A,MiPLA
5-HT1A_MiPT,-55498.46746826172,59924.13975524902,5-HT1A,MiPT
5-HT1A_Midazolam,-55490.96303939819,60048.79243469238,5-HT1A,Midazolam
5-HT1A_Mirtazapine,-55414.99459075928,62196.12478733063,5-HT1A,Mirtazapine
5-HT1A_Modafinil,-55427.71055603027,59171.893493652344,5-HT1A,Modafinil
5-HT1A_Morphine,-55600.814697265625,63555.05920410156,5-HT1A,Morphine
5-HT1A_Myristicin,-55500.798652648926,62174.242404937744,5-HT1A,Myristicin
5-HT1A_N-Acetylcysteine,-55509.705085754395,779108.1296234131,5-HT1A,N-Acetylcysteine
5-HT1A_N-Ethylhexedrone,-55450.60033416748,72523.49311256409,5-HT1A,N-Ethylhexedrone
5-HT1A_NBx,-55430.96345901489,58911.85195350647,5-HT1A,NBx
5-HT1A_NEP,-55533.95862197876,63629.47960662842,5-HT1A,NEP
5-HT1A_NM-2-AI,-55587.81955718994,74435.53699493408,5-HT1A,NM-2-AI
5-HT1A_Nicotiana_(botany),-55472.891052246094,67455.29678153992,5-HT1A,Nicotiana_(botany)
5-HT1A_Nicotine,-55490.958976745605,63488.10060405731,5-HT1A,Nicotine
5-HT1A_Nifoxipam,-55394.56238555908,65416.47616195679,5-HT1A,Nifoxipam
5-HT1A_Nitromethaqualone,-55524.64692687988,72904.40710449219,5-HT1A,Nitromethaqualone
5-HT1A_Nitrous,-55507.47967529297,60057.34381866455,5-HT1A,Nitrous
5-HT1A_Noradrenaline,-55403.34028625488,61186.88723373413,5-HT1A,Noradrenaline
5-HT1A_O-Desmethyltramadol,-55548.40905189514,62144.87961769104,5-HT1A,O-Desmethyltramadol
5-HT1A_O-PCE,-55559.35548400879,56752.42923736572,5-HT1A,O-PCE
5-HT1A_Oxycodone,-55570.21147155762,67535.11695480347,5-HT1A,Oxycodone
5-HT1A_Oxymorphone,-55519.2607421875,58013.492206573486,5-HT1A,Oxymorphone
5-HT1A_PARGY-LAD,-55416.99150848389,58455.48986053467,5-HT1A,PARGY-LAD
5-HT1A_PCE,-55440.86693954468,59339.25235366821,5-HT1A,PCE
5-HT1A_PCP,-55331.37163543701,60145.437437057495,5-HT1A,PCP
5-HT1A_PMA,-55526.790100097656,60518.949769973755,5-HT1A,PMA
5-HT1A_PMMA,-55424.57483673096,67678.42338657379,5-HT1A,PMMA
5-HT1A_PRO-LAD,-55497.8796081543,57233.52148246765,5-HT1A,PRO-LAD
5-HT1A_Peganum_harmala,-55442.36100769043,60486.20239067078,5-HT1A,Peganum_harmala
5-HT1A_Pentedrone,-55400.05570983887,57519.39760398865,5-HT1A,Pentedrone
5-HT1A_Pentobarbital,-55422.92346954346,77884.4369430542,5-HT1A,Pentobarbital
5-HT1A_Pethidine,-55505.974922180176,57894.39006614685,5-HT1A,Pethidine
5-HT1A_Phenethylamine_(compound),-55591.47523880005,62344.43854904175,5-HT1A,Phenethylamine_(compound)
5-HT1A_Phenibut,-55458.06602478027,68122.76498413086,5-HT1A,Phenibut
5-HT1A_Phenobarbital,-55520.35121536255,65956.06133842468,5-HT1A,Phenobarbital
5-HT1A_Poppers,-55496.46114349365,58067.011167526245,5-HT1A,Poppers
5-HT1A_Pregabalin,-55462.536682128906,72896.8618645668,5-HT1A,Pregabalin
5-HT1A_Progesterone,-55589.78511047363,7887968.659111023,5-HT1A,Progesterone
5-HT1A_Prolintane,-55444.76782989502,55444.09093761444,5-HT1A,Prolintane
5-HT1A_Promethazine,-55435.72451019287,63079.27991104126,5-HT1A,Promethazine
5-HT1A_Propylhexedrine,-55501.644691467285,61122.91508483887,5-HT1A,Propylhexedrine
5-HT1A_Proscaline,-55511.21285247803,83120.30589294434,5-HT1A,Proscaline
5-HT1A_Psilocin,-55527.30944442749,60157.64889335632,5-HT1A,Psilocin
5-HT1A_Pyrazolam,-55388.27730560303,55271.06521606445,5-HT1A,Pyrazolam
5-HT1A_SAM-e,-55516.55545806885,65001.24231719971,5-HT1A,SAM-e
5-HT1A_STS-135,-55394.23754119873,55945.29067611694,5-HT1A,STS-135
5-HT1A_Salvia_divinorum,-55544.410442352295,121192.39388656616,5-HT1A,Salvia_divinorum
5-HT1A_Salvinorin_A,-55484.105812072754,114607.96313667297,5-HT1A,Salvinorin_A
5-HT1A_Salvinorin_B_methoxymethyl_ether,-55512.00897979736,81834.78921508789,5-HT1A,Salvinorin_B_methoxymethyl_ether
5-HT1A_Secobarbital,-55378.855407714844,57867.44219970703,5-HT1A,Secobarbital
5-HT1A_Serotonin,-55371.97163391113,85927.16834974289,5-HT1A,Serotonin
5-HT1A_Sufentanil,-55522.245864868164,58275.23084259033,5-HT1A,Sufentanil
5-HT1A_THC-O-acetate,-55487.21672821045,55961.15811443329,5-HT1A,THC-O-acetate
5-HT1A_THJ-018,-55442.18043899536,65770.69575500488,5-HT1A,THJ-018
5-HT1A_THJ-2201,-55442.13743972778,60664.30771827698,5-HT1A,THJ-2201
5-HT1A_TMA-2,-55521.637157440186,64862.81511116028,5-HT1A,TMA-2
5-HT1A_TMA-6,-55550.43775177002,66023.3680229187,5-HT1A,TMA-6
5-HT1A_Tabernanthe_iboga_(botany),-55459.10725402832,51364.5122756958,5-HT1A,Tabernanthe_iboga_(botany)
5-HT1A_Tapentadol,-55480.4270401001,65306.82660293579,5-HT1A,Tapentadol
5-HT1A_Temazepam,-55431.19007873535,59201.49953460693,5-HT1A,Temazepam
5-HT1A_Tetrahydrocannabinol,-55372.90754318237,56490.545808792114,5-HT1A,Tetrahydrocannabinol
5-HT1A_Tetrahydrocannabiphorol,-55273.71698760986,57076.20793533325,5-HT1A,Tetrahydrocannabiphorol
5-HT1A_Theacrine,-55598.32481384277,56893.131408691406,5-HT1A,Theacrine
5-HT1A_Theanine,-55480.39751434326,59733.45844459534,5-HT1A,Theanine
5-HT1A_Tianeptine,-55392.24853515625,56448.710134506226,5-HT1A,Tianeptine
5-HT1A_Tizanidine,-55474.91375732422,61208.48868942261,5-HT1A,Tizanidine
5-HT1A_Tramadol,-55484.80736541748,77596.97270870209,5-HT1A,Tramadol
5-HT1A_Tryptamine_(compound),-55480.59901428223,61715.43053436279,5-HT1A,Tryptamine_(compound)
5-HT1A_Tyrosine,-55421.82385253906,63787.07947540283,5-HT1A,Tyrosine
5-HT1A_U-47700,-55371.296325683594,58865.9416809082,5-HT1A,U-47700
5-HT1A_Zolpidem,-55459.06516265869,80050.47610664368,5-HT1A,Zolpidem
5-HT1A_Zopiclone,-55575.00003051758,68723.55034637451,5-HT1A,Zopiclone
"5-HT1B_1,4-Butanediol",-48115.734062194824,98541.86650848389,5-HT1B,"1,4-Butanediol"
5-HT1B_1B-LSD,-47743.562438964844,89185.96550750732,5-HT1B,1B-LSD
5-HT1B_1P-ETH-LAD,-48242.887744903564,99808.43129348755,5-HT1B,1P-ETH-LAD
5-HT1B_1P-LSD,-48176.893295288086,89770.1457901001,5-HT1B,1P-LSD
5-HT1B_1V-LSD,-48228.50409698486,78761.83176422119,5-HT1B,1V-LSD
