ligand,mean,std,count
GluA2_Dextroamphetamine,-127094.61486816406,,1
GluA2_5-MeO-DiBF,-127094.5106201172,,1
GluA2_25I-NBOH,-127092.90377807616,,1
GluA2_Dextropropoxyphene,-127092.8782043457,,1
GluA2_U-47700,-127092.67420959473,,1
GluA2_Tapentadol,-127091.40560913086,,1
GluA2_5-MeO-DALT,-127091.1297454834,,1
GluA2_Methylone,-127090.41734313963,,1
GluA2_Argyreia_nervosa,-127090.0684967041,,1
GluA2_3-HO-PCE,-127088.47259521484,,1
GluA2_Buprenorphine,-127088.36625671388,,1
GluA2_Dihydrocodeine,-127088.01943969728,,1
GluA2_Gaboxadol,-127087.67646789552,,1
GluA2_4-AcO-MET,-127087.04109191896,,1
GluA2_Amphetamine,-127086.86975097656,,1
GluA2_Cathinone,-127086.68696594238,,1
GluA2_Desomorphine,-127086.50868225098,,1
GluA2_4-AcO-MiPT,-127086.09954833984,,1
GluA2_3-MeO-PCE,-127084.8202972412,,1
GluA2_Ephylone,-127083.99502563477,,1
GluA2_Adrenaline,-127080.71408081056,,1
GluA2_SAM-e,-127080.6138458252,,1
GluA2_Bufotenin,-127078.62510681152,,1
GluA2_Dextromethorphan,-127078.4062652588,,1
GluA2_Beta-Carboline,-127078.29290771484,,1
GluA2_Flubromazepam,-127077.41934204102,,1
GluA2_Nicotine,-127077.07418823242,,1
GluA2_Ephedrine,-127076.26084899902,,1
GluA2_Methylphenidate,-127075.15867614746,,1
GluA2_2-FEA,-127074.4517364502,,1
GluA2_2C-T-7,-127073.0103302002,,1
GluA2_Pentedrone,-127072.60066223145,,1
GluA2_Salvia_divinorum,-127071.69479370116,,1
GluA2_25C-NBOH,-127071.03428649902,,1
GluA2_Nitrous,-127071.01426696776,,1
GluA2_Deschloroetizolam,-127071.00973510742,,1
GluA2_2C-T,-127070.92121887208,,1
GluA2_5-MAPB,-127070.69813537598,,1
GluA2_GBL,-127070.06811523438,,1
GluA2_DOB,-127070.01570129396,,1
GluA2_Diphenidine,-127069.3224029541,,1
GluA2_Escaline,-127067.31643676758,,1
GluA2_Banisteriopsis_caapi,-127065.52770996094,,1
GluA2_Ibotenic_acid,-127064.5160522461,,1
GluA2_4-FMA,-127061.9150390625,,1
GluA2_LSM-775,-127060.7643737793,,1
GluA2_25I-NBOMe,-127060.07647705078,,1
GluA2_5-Hydroxytryptophan,-127059.7234802246,,1
GluA2_25N-NBOMe,-127055.887008667,,1
GluA2_Caffeine,-127055.14682006836,,1
GluA2_3-FMA,-127053.21418762208,,1
GluA2_Methcathinone,-127050.9267578125,,1
GluA2_Secobarbital,-127049.07241821288,,1
GluA2_A-PHP,-127048.5195159912,,1
GluA2_Etizolam,-127048.29895019533,,1
GluA2_1V-LSD,-127046.75994873048,,1
GluA2_2-Fluorodeschloroketamine,-127045.93228149414,,1
GluA2_Tramadol,-127045.3685913086,,1
GluA2_3-MMC,-127044.10205078124,,1
GluA2_PCE,-127043.88316345216,,1
GluA2_Proscaline,-127043.09552001952,,1
GluA2_Gabapentin,-127042.377243042,,1
GluA2_HHC,-127042.236038208,,1
GluA2_Promethazine,-127042.13247680664,,1
GluA2_Delta-8-THC,-127039.86373901369,,1
GluA2_2C-H,-127039.68539428712,,1
GluA2_Anadenanthera_peregrina,-127039.42208862305,,1
GluA2_3C-E,-127038.24932861328,,1
GluA2_Harmala_alkaloid,-127037.51414489746,,1
GluA2_Desoxypipradrol,-127037.50050354004,,1
GluA2_Poppers,-127036.03984069824,,1
GluA2_Morphine,-127035.64068603516,,1
GluA2_4-HO-DET,-127033.02786254884,,1
GluA2_Ayahuasca,-127032.77868652344,,1
GluA2_Fentanyl,-127032.22398376463,,1
GluA2_Memantine,-127031.59797668456,,1
GluA2_3C-P,-127028.41006469728,,1
GluA2_Pethidine,-127026.97918701172,,1
GluA2_2M2B,-127026.5650177002,,1
GluA2_Efavirenz,-127023.05003356934,,1
GluA2_25B-NBOMe,-127020.84980773926,,1
GluA2_Deschloroketamine,-127020.76168823242,,1
GluA2_MDEA,-127020.26823425292,,1
GluA2_N-Ethylhexedrone,-127018.61172485352,,1
GluA2_NEP,-127017.35272216795,,1
GluA2_Cannabis,-127013.2310333252,,1
GluA2_5F-AKB48,-127013.12875366212,,1
GluA2_PARGY-LAD,-127012.556350708,,1
GluA2_1P-LSD,-127009.71408081056,,1
GluA2_3-MeO-PCP,-127009.14524841309,,1
GluA2_4-HO-DiPT,-127007.37440490724,,1
GluA2_ALD-52,-127005.06022644044,,1
GluA2_Tryptamine_(compound),-127000.26330566406,,1
GluA2_Lorazepam,-126998.24429321288,,1
GluA2_Dichloropane,-126997.42544555664,,1
GluA2_Oxycodone,-126995.3437652588,,1
GluA2_EPT,-126995.23226928712,,1
GluA2_MET,-126993.76513671876,,1
GluA2_Mexedrone,-126990.40872192384,,1
GluA2_GABA,-126990.40083312988,,1
GluA2_Cyclazodone,-126988.98739624023,,1
GluA2_2C-D,-126987.60270690918,,1
GluA2_Nicotiana_(botany),-126986.66235351562,,1
GluA2_Hydromorphone,-126986.1856842041,,1
GluA2_2-Aminoindane,-126985.65126037598,,1
GluA2_Galantamine,-126982.98141479492,,1
GluA2_Echinopsis_pachanoi,-126982.9478302002,,1
GluA2_4-AcO-DMT,-126981.5240020752,,1
GluA2_Salvinorin_B_methoxymethyl_ether,-126980.54025268556,,1
GluA2_GHB,-126978.34867858888,,1
GluA2_3-FA,-126977.94906616212,,1
GluA2_LSD,-126977.2680053711,,1
GluA2_Bromo-DragonFLY,-126974.63577270508,,1
GluA2_4-HO-MPT,-126973.25201416016,,1
GluA2_Zopiclone,-126973.17309570312,,1
GluA2_Methylnaphthidate,-126971.89204406738,,1
GluA2_1cP-AL-LAD,-126968.99615478516,,1
GluA2_Carisoprodol,-126967.26446533205,,1
GluA2_Myristicin,-126966.37937927246,,1
GluA2_5F-PB-22,-126966.15325927734,,1
GluA2_Melatonin,-126963.96197509766,,1
GluA2_DMT,-126960.23489379884,,1
GluA2_2C-C,-126956.86665344238,,1
GluA2_Phenibut,-126955.43157958984,,1
GluA2_1cP-MiPLA,-126951.7837677002,,1
GluA2_PMMA,-126948.00180053712,,1
GluA2_LSA,-126944.1643371582,,1
GluA2_Codeine,-126937.1623840332,,1
GluA2_Propylhexedrine,-126934.6806640625,,1
GluA2_Theanine,-126931.99197387695,,1
GluA2_Psilocin,-126931.67588806152,,1
GluA2_Hydrocodone,-126931.21138000488,,1
GluA2_Peganum_harmala,-126930.28698730467,,1
GluA2_Alpha-MT,-126928.2837677002,,1
"GluA2_5,6-MDO-DMT",-126926.49644470216,,1
GluA2_DOx,-126926.41654968262,,1
GluA2_Oxymorphone,-126926.10290527344,,1
GluA2_Midazolam,-126921.46479797363,,1
GluA2_Ketamine,-126920.46499633788,,1
GluA2_Tyrosine,-126916.19732666016,,1
GluA2_Bk-2C-B,-126910.58938598631,,1
GluA2_Datura,-126905.4279937744,,1
GluA2_Dopamine,-126897.84381103516,,1
GluA2_Ethylone,-126890.80029296876,,1
GluA2_Methiopropamine,-126881.4083404541,,1
GluA2_2-FMA,-126857.9542388916,,1
GluA2_O-Desmethyltramadol,-126845.11755371094,,1
GluA2_Changa,-126834.5856628418,,1
GluA2_5-MeO-DiPT,-126826.12521362305,,1
GluA2_MiPLA,-126816.12901306152,,1
GluA2_5-APB,-126808.34169006348,,1
GluA2_1B-LSD,-126772.78198242188,,1
GluA2_Alcohol,-126711.84327697754,,1
GluA2_AL-LAD,-126684.95782470705,,1
GluA2_Benzydamine,-126463.11477661131,,1
GluK2_2C-B,-121333.56118774414,,1
GluK2_Bromo-DragonFLY,-121311.05070495604,,1
GluK2_Melatonin,-121301.88526916504,,1
GluK2_4-AcO-DiPT,-121295.81579589844,,1
GluK2_3-FEA,-121279.5477142334,,1
GluK2_Morphine,-121258.73031616212,,1
GluK2_Tizanidine,-121254.90298461914,,1
GluK2_Kratom,-121252.152633667,,1
GluK2_Ethylphenidate,-121236.88496398926,,1
GluK2_2C-I,-121226.77543640137,,1
GluK2_Methaqualone,-121219.71229553224,,1
GluK2_Mephedrone,-121217.9698486328,,1
GluK2_LAE-32,-121213.25146484376,,1
GluK2_Armodafinil,-121208.91586303712,,1
GluK2_Lorazepam,-121204.63969421388,,1
GluK2_25N-NBOMe,-121204.4126739502,,1
GluK2_2C-E,-121203.1369781494,,1
GluK2_Anadenanthera_peregrina,-121201.392578125,,1
GluK2_2-FA,-121199.32165527344,,1
GluK2_Clonazepam,-121197.49407958984,,1
GluK2_5-MAPB,-121195.86932373048,,1
GluK2_Choline_bitartrate,-121194.5050354004,,1
GluK2_O-Desmethyltramadol,-121188.3283996582,,1
GluK2_2C-B-FLY,-121179.09921264648,,1
GluK2_Myristicin,-121177.87158203124,,1
GluK2_4-HO-DET,-121174.30648803712,,1
GluK2_MiPT,-121173.07620239258,,1
GluK2_Buprenorphine,-121170.8003692627,,1
GluK2_2C-T-21,-121169.59892272948,,1
GluK2_Lormetazepam,-121163.1250152588,,1
GluK2_2-Fluorodeschloroketamine,-121161.06741333008,,1
GluK2_2C-D,-121154.65663146973,,1
GluK2_25D-NBOMe,-121153.4899749756,,1
GluK2_THJ-018,-121151.99736022948,,1
GluK2_Amphetamine,-121149.94590759276,,1
GluK2_2C-T-7,-121144.51193237305,,1
GluK2_25I-NBOH,-121139.7723388672,,1
GluK2_Argyreia_nervosa,-121139.64642333984,,1
GluK2_ETH-LAD,-121137.10305786131,,1
GluK2_Methylnaphthidate,-121131.92224121094,,1
GluK2_Nicotine,-121131.87251281738,,1
GluK2_THC-O-acetate,-121129.61099243164,,1
GluK2_Tabernanthe_iboga_(botany),-121129.2988128662,,1
GluK2_Allylescaline,-121128.94860839844,,1
GluK2_Changa,-121128.22448730467,,1
GluK2_2C-C,-121123.12670898438,,1
GluK2_Methoxetamine,-121120.98947143556,,1
GluK2_Zolpidem,-121119.68614196776,,1
GluK2_MDMA,-121118.34674072266,,1
GluK2_5F-PB-22,-121116.91647338869,,1
GluK2_Flualprazolam,-121116.48933410645,,1
GluK2_2-FMA,-121114.50457763672,,1
GluK2_4F-EPH,-121113.98150634766,,1
GluK2_Nifoxipam,-121108.96032714844,,1
GluK2_Cyclazodone,-121106.50462341309,,1
GluK2_Tyrosine,-121105.96829223631,,1
GluK2_JWH-073,-121105.62037658691,,1
GluK2_Methadone,-121102.16061401369,,1
GluK2_A-PVP,-121101.09394836426,,1
GluK2_3-MeO-PCMo,-121099.5495300293,,1
GluK2_Glutamate,-121097.71768188477,,1
GluK2_4-AcO-MET,-121097.50213623048,,1
GluK2_Mexedrone,-121097.25158691406,,1
GluK2_THJ-2201,-121093.69509887695,,1
GluK2_Diazepam,-121093.6070098877,,1
GluK2_Cannabidiol,-121093.60397338869,,1
GluK2_Adrenaline,-121092.03164672852,,1
GluK2_Dextroamphetamine,-121090.38006591795,,1
GluK2_LSM-775,-121088.51275634766,,1
GluK2_Deschloroetizolam,-121088.3660583496,,1
GluK2_Diphenhydramine,-121085.95513916016,,1
GluK2_2-FEA,-121082.69750976562,,1
GluK2_Baeocystin,-121082.35530090332,,1
GluK2_EPT,-121082.3337097168,,1
GluK2_3-HO-PCE,-121081.28372192384,,1
GluK2_Ipomoea_tricolor,-121080.7772064209,,1
GluK2_Harmala_alkaloid,-121080.5870361328,,1
GluK2_6-APB,-121080.1180114746,,1
GluK2_Etizolam,-121077.4819946289,,1
GluK2_Echinopsis_pachanoi,-121074.79008483888,,1
GluK2_Ayahuasca,-121073.95370483398,,1
GluK2_25I-NBOMe,-121073.18681335448,,1
GluK2_4-FMA,-121071.8748626709,,1
GluK2_Methiopropamine,-121069.84233093262,,1
GluK2_GABA,-121069.17398071288,,1
GluK2_25C-NBOMe,-121067.8890991211,,1
GluK2_Nitrous,-121065.80912780762,,1
"GluK2_3,4-CTMP",-121064.94149780272,,1
GluK2_3-FMA,-121063.99528503418,,1
GluK2_Ethylone,-121062.20239257812,,1
GluK2_Flunitrazolam,-121060.35418701172,,1
GluK2_3-MMC,-121059.38096618652,,1
GluK2_DOC,-121058.76586914062,,1
GluK2_3-HO-PCP,-121057.8257446289,,1
GluK2_Cathinone,-121055.609664917,,1
GluK2_3-MeO-PCE,-121055.59257507324,,1
GluK2_Memantine,-121055.43450927734,,1
GluK2_4-AcO-DET,-121055.36819458008,,1
GluK2_Pyrazolam,-121055.23068237305,,1
"GluK2_1,4-Butanediol",-121054.17510986328,,1
GluK2_5F-AKB48,-121053.86526489258,,1
GluK2_MET,-121053.6176147461,,1
GluK2_AL-LAD,-121052.88858032228,,1
GluK2_3C-P,-121052.5440826416,,1
GluK2_1P-LSD,-121051.59761047363,,1
GluK2_3-FA,-121051.07099914552,,1
GluK2_Metizolam,-121050.27627563477,,1
GluK2_Phenobarbital,-121049.89736938477,,1
GluK2_Tapentadol,-121049.07846069336,,1
GluK2_Salvinorin_A,-121047.46519470216,,1
GluK2_Tramadol,-121046.63632202148,,1
GluK2_25B-NBOMe,-121045.43785095216,,1
GluK2_AB-FUBINACA,-121045.3663330078,,1
GluK2_25C-NBOH,-121043.29609680176,,1
GluK2_2M2B,-121041.95851135254,,1
GluK2_4F-MPH,-121041.80348205566,,1
GluK2_3C-E,-121041.37846374512,,1
GluK2_Phenibut,-121040.37239074708,,1
GluK2_HXE,-121039.62551879884,,1
GluK2_Pentedrone,-121038.75793457033,,1
GluK2_Ethylmorphine,-121035.44004821776,,1
GluK2_MDA,-121033.87133789062,,1
GluK2_LSD,-121033.33563232422,,1
GluK2_Mirtazapine,-121032.23643493652,,1
GluK2_MDEA,-121031.20977783205,,1
GluK2_Proscaline,-121030.81796264648,,1
GluK2_1cP-MiPLA,-121029.41870117188,,1
GluK2_PCP,-121026.50704956056,,1
GluK2_Eszopiclone,-121023.78994750977,,1
GluK2_Tetrahydrocannabinol,-121022.926071167,,1
GluK2_4-MeO-PCP,-121022.68685913086,,1
GluK2_Adrafinil,-121022.55473327637,,1
GluK2_Pentobarbital,-121020.59008789062,,1
GluK2_STS-135,-121019.54815673828,,1
GluK2_N-Ethylhexedrone,-121016.42321777344,,1
GluK2_SAM-e,-121016.06848144533,,1
GluK2_Diphenidine,-121012.87185668944,,1
GluK2_PARGY-LAD,-121012.62791442873,,1
GluK2_5-APB,-121007.986328125,,1
GluK2_Hydromorphone,-121007.17147827148,,1
GluK2_Codeine,-121005.29360961914,,1
GluK2_1B-LSD,-121004.37008666992,,1
GluK2_Pregabalin,-121004.32815551758,,1
GluK2_Acetylcholine,-121001.58808898926,,1
GluK2_GHB,-121001.17672729492,,1
GluK2_Bromazepam,-121000.94677734376,,1
GluK2_NBx,-121000.04397583008,,1
GluK2_5-MeO-MiPT,-120999.6319885254,,1
GluK2_Methamphetamine,-120996.9409942627,,1
GluK2_Modafinil,-120995.32833862305,,1
GluK2_DPT,-120991.89512634276,,1
GluK2_Diclazepam,-120991.68530273438,,1
GluK2_Isopropylphenidate,-120991.4497833252,,1
GluK2_2C-T,-120990.47286987305,,1
GluK2_Escaline,-120990.4432220459,,1
GluK2_Butylone,-120989.8636932373,,1
GluK2_Dichloropane,-120988.61279296876,,1
GluK2_JWH-018,-120987.99044799805,,1
GluK2_4-HO-DPT,-120987.345993042,,1
GluK2_Salvinorin_B_methoxymethyl_ether,-120985.73541259766,,1
GluK2_Desoxypipradrol,-120985.31448364258,,1
GluK2_2C-T-2,-120984.9182434082,,1
GluK2_TMA-2,-120984.89459228516,,1
GluK2_Propylhexedrine,-120982.90461730956,,1
GluK2_4-AcO-DMT,-120980.18692016602,,1
GluK2_Lophophora_williamsii,-120978.41607666016,,1
GluK2_4-HO-MET,-120976.88461303712,,1
GluK2_Benzydamine,-120976.85845947266,,1
GluK2_Carisoprodol,-120974.9391937256,,1
GluK2_8-Chlorotheophylline,-120974.89889526369,,1
GluK2_Midazolam,-120974.74514770508,,1
"GluK2_2,5-DMA",-120973.7625427246,,1
GluK2_Salvia_divinorum,-120971.96284484863,,1
GluK2_Flubromazepam,-120971.93783569336,,1
GluK2_DOx,-120971.8959350586,,1
GluK2_Peganum_harmala,-120971.2312927246,,1
GluK2_PCE,-120970.91386413574,,1
GluK2_Banisteriopsis_caapi,-120970.26431274414,,1
GluK2_DOM,-120970.11267089844,,1
GluK2_Tryptamine_(compound),-120968.60501098631,,1
GluK2_4-FA,-120968.19125366212,,1
GluK2_Bromantane,-120967.02655029295,,1
GluK2_Flunitrazepam,-120962.74118041992,,1
GluK2_PRO-LAD,-120961.80995178224,,1
GluK2_PMMA,-120961.76321411131,,1
GluK2_DET,-120959.15798950195,,1
GluK2_Progesterone,-120958.77461242676,,1
GluK2_6-APDB,-120956.5972290039,,1
GluK2_Zopiclone,-120955.62365722656,,1
GluK2_Heroin,-120954.76652526855,,1
GluK2_Cocaine,-120954.21166992188,,1
GluK2_ALD-52,-120953.24340820312,,1
GluK2_APICA,-120953.03044128418,,1
GluK2_4-AcO-MiPT,-120952.05499267578,,1
GluK2_1cP-LSD,-120950.68153381348,,1
GluK2_Desomorphine,-120949.45051574708,,1
GluK2_4-HO-DiPT,-120947.96501159668,,1
GluK2_1V-LSD,-120947.6050567627,,1
GluK2_Dopamine,-120945.3133544922,,1
GluK2_Methylphenidate,-120944.76382446288,,1
GluK2_Promethazine,-120943.31954956056,,1
GluK2_O-PCE,-120942.65365600586,,1
GluK2_Clonidine,-120941.80152893066,,1
GluK2_Gabapentin,-120941.16226196288,,1
GluK2_4-HO-EPT,-120940.71725463869,,1
GluK2_Hexedrone,-120940.28559875488,,1
GluK2_3-FPM,-120938.53784179688,,1
GluK2_Methylone,-120937.00537109376,,1
GluK2_1cP-AL-LAD,-120936.32948303224,,1
GluK2_Prolintane,-120935.86671447754,,1
GluK2_Histamine,-120934.58932495116,,1
GluK2_Fentanyl,-120931.1308441162,,1
GluK2_Dihydrocodeine,-120931.12045288086,,1
GluK2_TMA-6,-120930.63208007812,,1
GluK2_N-Acetylcysteine,-120930.21618652344,,1
"GluK2_5,6-MDO-DMT",-120926.04736328124,,1
GluK2_Baclofen,-120925.87544250488,,1
GluK2_Galantamine,-120920.28816223145,,1
GluK2_MDPV,-120917.43659973145,,1
GluK2_25E-NBOH,-120917.07217407228,,1
GluK2_MCPP,-120916.78861999512,,1
GluK2_5-MeO-DALT,-120916.73806762695,,1
GluK2_Ibotenic_acid,-120916.58393859863,,1
GluK2_Ephenidine,-120916.2113494873,,1
GluK2_MiPLA,-120913.73645019533,,1
GluK2_HHC,-120911.76020812988,,1
GluK2_Alprazolam,-120911.33322143556,,1
GluK2_DMT,-120911.23866271973,,1
GluK2_DOB,-120909.77404785156,,1
GluK2_3-MeO-PCP,-120909.05809020996,,1
GluK2_Citicoline,-120905.85961914062,,1
GluK2_2C-H,-120904.7619934082,,1
GluK2_Flubromazolam,-120902.65101623537,,1
GluK2_Phenethylamine_(compound),-120902.64254760742,,1
GluK2_Oxymorphone,-120900.75439453124,,1
GluK2_Caffeine,-120900.2444152832,,1
GluK2_Mescaline,-120898.60888671876,,1
GluK2_Methallylescaline,-120897.42138671876,,1
GluK2_Tetrahydrocannabiphorol,-120896.88018798828,,1
GluK2_Serotonin,-120895.00541687012,,1
GluK2_A-PHP,-120894.72821044922,,1
GluK2_Nicotiana_(botany),-120891.92910766602,,1
GluK2_Dextropropoxyphene,-120890.51878356934,,1
GluK2_5-MeO-DiPT,-120888.98042297363,,1
GluK2_Noradrenaline,-120887.6551208496,,1
GluK2_Acetylfentanyl,-120887.34983825684,,1
GluK2_5-MeO-DiBF,-120884.7317199707,,1
GluK2_MDAI,-120881.77917480467,,1
GluK2_Kava,-120877.1217956543,,1
GluK2_Lisdexamfetamine,-120868.91709899902,,1
GluK2_Tianeptine,-120867.88584899902,,1
GluK2_Pethidine,-120867.47381591795,,1
GluK2_Psilocin,-120866.18949890137,,1
GluK2_LSA,-120866.0562286377,,1
GluK2_2-Aminoindane,-120865.69757080078,,1
GluK2_Methcathinone,-120864.00769042967,,1
GluK2_2C-P,-120863.25819396973,,1
GluK2_Deschloroketamine,-120862.2265777588,,1
GluK2_Beta-Carboline,-120862.18380737305,,1
GluK2_Ibogaine,-120861.4241027832,,1
GluK2_5-Hydroxytryptophan,-120860.19148254396,,1
GluK2_25B-NBOH,-120856.84091186523,,1
GluK2_DOI,-120855.78761291504,,1
GluK2_Temazepam,-120855.1508178711,,1
GluK2_Sufentanil,-120854.79006958008,,1
GluK2_Hydrocodone,-120852.25825500488,,1
GluK2_Nitromethaqualone,-120851.38845825195,,1
GluK2_4-HO-MPT,-120850.45738220216,,1
GluK2_Datura,-120849.05378723145,,1
GluK2_Poppers,-120842.96405029295,,1
GluK2_Ephylone,-120838.84107971191,,1
